time,prcp,temp,tempmax,tempmin,hurs,rsds,gradient
2019-04-01,0.0,-5.054138,2.5550842,-11.926239,71.09579,321.8232,-0.0062137796
2019-04-02,0.0,-3.7019653,3.860382,-12.233887,66.475235,324.70648,-0.0062137796
2019-04-03,0.0,-2.4806519,5.676483,-9.460846,65.282196,326.46655,-0.0062137796
2019-04-04,0.0,0.051361084,7.901825,-7.320587,61.664265,327.853,-0.0062137796
2019-04-05,0.0,0.67071533,7.625122,-6.3814697,74.396774,308.86575,-0.0062137796
2019-04-06,0.0,2.0877686,7.0000305,-3.6090393,71.36924,301.51178,-0.0062137796
2019-04-07,0.0,0.78848267,6.980957,-6.6402283,70.19783,316.3464,-0.0062137796
2019-04-08,0.0,0.49920654,7.359558,-7.159973,72.04536,298.49738,-0.0062137796
2019-04-09,0.0,0.3604126,7.6763,-6.5601807,74.2433,316.67978,-0.0062137796
2019-04-10,0.0,1.6772461,9.343414,-5.2494507,71.867325,324.48553,-0.0062137796
2019-04-11,0.0,2.2955627,9.045776,-5.5043945,75.259224,314.9163,-0.0062137796
2019-04-12,0.0,3.0386047,8.785919,-3.788391,76.28036,281.1051,-0.0062137796
2019-04-13,0.0,4.6745605,9.11618,-2.0387268,81.880646,289.99234,-0.0062137796
2019-04-14,0.0,5.98114,10.394653,0.46194458,78.252174,303.96072,-0.0062137796
2019-04-15,0.0,4.5740967,9.868805,-1.5660706,78.3252,318.33365,-0.0062137796
2019-04-16,0.0,5.849121,10.180664,-0.17092896,74.41558,293.96722,-0.0062137796
2019-04-17,0.0,6.196289,9.210754,2.8225403,78.54069,286.65735,-0.0062137796
2019-04-18,0.0,5.5618896,8.83963,1.5939941,75.49955,300.81393,-0.0062137796
2019-04-19,0.0,2.9775696,9.12384,-6.2183533,72.26043,337.28973,-0.0062137796
2019-04-20,0.0,1.6563721,9.682709,-6.5953064,72.18677,347.17252,-0.0062137796
2019-04-21,0.0,2.340088,9.647461,-4.8289795,71.56426,340.53665,-0.0062137796
2019-04-22,0.0,2.544281,9.485077,-5.5693665,76.66078,342.06256,-0.0062137796
2019-04-23,0.0,3.119751,10.994659,-4.8887634,77.62263,333.06006,-0.0062137796
2019-04-24,0.0,5.0488586,8.993683,-2.8249817,78.317375,323.48395,-0.0062137796
2019-04-25,0.0,5.123413,8.157654,2.0766602,83.193886,312.69778,-0.0062137796
2019-04-26,0.0,2.9190369,7.497406,-4.9744873,83.15008,335.43512,-0.0062137796
2019-04-27,0.0,2.0776672,7.9123535,-3.877411,71.966675,343.9124,-0.0062137796
2019-04-28,0.0,2.7033997,9.649231,-4.8823547,65.25114,367.15005,-0.0062137796
2019-04-29,0.0,1.3445435,8.539703,-6.8941956,65.28885,364.71814,-0.0062137796
2019-04-30,0.0,4.075775,8.065765,-0.61950684,73.144356,281.81158,-0.0062137796
2019-05-01,0.0,2.3735046,6.624115,-1.7159729,74.30056,319.64548,-0.006099779
2019-05-02,0.0,2.2071228,6.75354,-2.3150024,70.74677,336.12402,-0.006099779
2019-05-03,0.0,1.588562,5.936493,-3.0846252,68.066925,345.78342,-0.006099779
2019-05-04,0.0,0.2203064,5.893402,-5.398712,72.40671,339.68546,-0.006099779
2019-05-05,0.0,-1.0853882,4.6570435,-8.612793,75.22884,321.33334,-0.006099779
2019-05-06,0.0,-2.2325745,5.02182,-10.048004,65.27755,357.19922,-0.006099779
2019-05-07,0.0,-1.3111267,6.611084,-10.161346,64.87155,362.64343,-0.006099779
2019-05-08,0.0,-1.0377502,6.8542786,-9.444092,70.93108,358.38742,-0.006099779
2019-05-09,0.0,-0.98846436,6.8326416,-8.925964,73.40053,364.20828,-0.006099779
2019-05-10,0.0,2.0861511,8.588501,-8.346191,69.58936,328.64352,-0.006099779
2019-05-11,0.0,2.9814148,8.531677,-1.7399902,81.89937,308.24918,-0.006099779
2019-05-12,0.0,3.694397,8.466339,-3.162201,82.87881,329.68137,-0.006099779
2019-05-13,0.0,3.7246094,9.7951355,-2.6972656,71.64068,351.64,-0.006099779
2019-05-14,0.0,3.2523499,9.176727,-2.9953308,82.416954,323.52582,-0.006099779
2019-05-15,0.0,2.4638367,7.8496094,-4.54657,76.20231,344.33508,-0.006099779
2019-05-16,0.0,3.4940186,9.133118,-4.557495,80.81075,322.21274,-0.006099779
2019-05-17,0.0,4.856262,9.293304,1.2893066,78.945114,332.74347,-0.006099779
2019-05-18,0.0,5.962616,10.279388,1.3271179,86.32963,330.38028,-0.006099779
2019-05-19,0.0,5.7307434,11.248718,-2.5729065,76.182236,353.8967,-0.006099779
2019-05-20,0.0,3.5620422,10.11911,-2.7904663,80.81997,342.9131,-0.006099779
2019-05-21,0.0,3.3163147,10.518982,-6.108307,75.60716,345.3487,-0.006099779
2019-05-22,0.0,3.002716,10.121857,-6.744995,78.45603,349.99774,-0.006099779
2019-05-23,0.0,4.130249,8.398529,-2.3749084,82.81845,334.0574,-0.006099779
2019-05-24,0.6020456,6.217499,11.227509,1.9318542,82.62447,325.72632,-0.006099779
2019-05-25,0.0,5.1936646,10.641541,-1.5093384,80.60134,345.96863,-0.006099779
2019-05-26,0.37468326,4.392761,10.237396,-0.7536621,76.01883,346.2948,-0.006099779
2019-05-27,0.0,4.1102295,9.682312,-2.6578674,76.747635,347.3883,-0.006099779
